gateway_txn_id,event_date,merchant_ref,gateway_ref,settlement_batch,customer,event_type,gross_amount,gateway_fee,gst_on_fee,net_settlement,currency
G00196,2026-09-19,INV-NM005-1,GW-900000196,BAT-NM-005,Customer_075,SETTLEMENT,22744.0,0.0,0.0,22744.0,INR
G00197,2026-08-25,INV-NM006-0,GW-900000197,BAT-NM-006,Customer_008,SETTLEMENT,8627.0,0.0,0.0,8627.0,INR
G00198,2026-08-26,INV-NM006-1,GW-900000198,BAT-NM-006,Customer_008,SETTLEMENT,104495.0,0.0,0.0,104495.0,INR
G00199,2026-08-06,INV-NM007-0,GW-900000199,BAT-NM-007,Customer_021,SETTLEMENT,64724.0,0.0,0.0,64724.0,INR
G00200,2026-08-07,INV-NM007-1,GW-900000200,BAT-NM-007,Customer_021,SETTLEMENT,85151.0,0.0,0.0,85151.0,INR
G00201,2026-09-30,INV-NM008-0,GW-900000201,BAT-NM-008,Customer_034,SETTLEMENT,28307.0,0.0,0.0,28307.0,INR
G00202,2026-10-01,INV-NM008-1,GW-900000202,BAT-NM-008,Customer_034,SETTLEMENT,71732.0,0.0,0.0,71732.0,INR
G00203,2026-10-02,INV-NM008-2,GW-900000203,BAT-NM-008,Customer_034,SETTLEMENT,28433.0,0.0,0.0,28433.0,INR
G00204,2026-08-23,INV-NM009-0,GW-900000204,BAT-NM-009,Customer_047,SETTLEMENT,59302.0,0.0,0.0,59302.0,INR
G00205,2026-08-24,INV-NM009-1,GW-900000205,BAT-NM-009,Customer_047,SETTLEMENT,8546.0,0.0,0.0,8546.0,INR
G00206,2026-08-25,INV-NM009-2,GW-900000206,BAT-NM-009,Customer_047,SETTLEMENT,6123.0,0.0,0.0,6123.0,INR
G00207,2026-10-08,INV-NM010-0,GW-900000207,BAT-NM-010,Customer_060,SETTLEMENT,98630.0,0.0,0.0,98630.0,INR
G00208,2026-10-09,INV-NM010-1,GW-900000208,BAT-NM-010,Customer_060,SETTLEMENT,9183.0,0.0,0.0,9183.0,INR
G00209,2026-10-10,INV-NM010-2,GW-900000209,BAT-NM-010,Customer_060,SETTLEMENT,6016.0,0.0,0.0,6016.0,INR
G00210,2026-10-11,INV-NM010-3,GW-900000210,BAT-NM-010,Customer_060,SETTLEMENT,6781.0,0.0,0.0,6781.0,INR
G00211,2026-09-07,INV-NM011-0,GW-900000211,BAT-NM-011,Customer_073,SETTLEMENT,42904.0,0.0,0.0,42904.0,INR
G00212,2026-09-08,INV-NM011-1,GW-900000212,BAT-NM-011,Customer_073,SETTLEMENT,50372.0,0.0,0.0,50372.0,INR
G00213,2026-08-11,INV-NM012-0,GW-900000213,BAT-NM-012,Customer_006,SETTLEMENT,36027.0,0.0,0.0,36027.0,INR
G00214,2026-08-12,INV-NM012-1,GW-900000214,BAT-NM-012,Customer_006,SETTLEMENT,60387.0,0.0,0.0,60387.0,INR
G00215,2026-08-21,INV-NM013-0,GW-900000215,BAT-NM-013,Customer_019,SETTLEMENT,86698.0,0.0,0.0,86698.0,INR
G00216,2026-08-22,INV-NM013-1,GW-900000216,BAT-NM-013,Customer_019,SETTLEMENT,12921.0,0.0,0.0,12921.0,INR
G00217,2026-08-23,INV-NM013-2,GW-900000217,BAT-NM-013,Customer_019,SETTLEMENT,6932.0,0.0,0.0,6932.0,INR
G00218,2026-09-26,INV-NM014-0,GW-900000218,BAT-NM-014,Customer_032,SETTLEMENT,29599.0,0.0,0.0,29599.0,INR
G00219,2026-09-27,INV-NM014-1,GW-900000219,BAT-NM-014,Customer_032,SETTLEMENT,14949.0,0.0,0.0,14949.0,INR
G00220,2026-09-28,INV-NM014-2,GW-900000220,BAT-NM-014,Customer_032,SETTLEMENT,17168.0,0.0,0.0,17168.0,INR
G00221,2026-09-29,INV-NM014-3,GW-900000221,BAT-NM-014,Customer_032,SETTLEMENT,18190.0,0.0,0.0,18190.0,INR
G00222,2026-09-28,INV-NM015-0,GW-900000222,BAT-NM-015,Customer_045,SETTLEMENT,76962.0,0.0,0.0,76962.0,INR
G00223,2026-09-29,INV-NM015-1,GW-900000223,BAT-NM-015,Customer_045,SETTLEMENT,7297.0,0.0,0.0,7297.0,INR
G00224,2026-09-30,INV-NM015-2,GW-900000224,BAT-NM-015,Customer_045,SETTLEMENT,8187.0,0.0,0.0,8187.0,INR
G00225,2026-10-01,INV-NM015-3,GW-900000225,BAT-NM-015,Customer_045,SETTLEMENT,7093.0,0.0,0.0,7093.0,INR
G00226,2026-08-11,INV-NM016-0,GW-900000226,BAT-NM-016,Customer_058,SETTLEMENT,40369.0,0.0,0.0,40369.0,INR
G00227,2026-08-12,INV-NM016-1,GW-900000227,BAT-NM-016,Customer_058,SETTLEMENT,9544.0,0.0,0.0,9544.0,INR
G00228,2026-08-13,INV-NM016-2,GW-900000228,BAT-NM-016,Customer_058,SETTLEMENT,25260.0,0.0,0.0,25260.0,INR
G00229,2026-08-14,INV-NM016-3,GW-900000229,BAT-NM-016,Customer_058,SETTLEMENT,35292.0,0.0,0.0,35292.0,INR
G00230,2026-08-30,INV-NM017-0,GW-900000230,BAT-NM-017,Customer_071,SETTLEMENT,117080.0,0.0,0.0,117080.0,INR
G00231,2026-08-31,INV-NM017-1,GW-900000231,BAT-NM-017,Customer_071,SETTLEMENT,6296.0,0.0,0.0,6296.0,INR
G00232,2026-10-10,INV-NM018-0,GW-900000232,BAT-NM-018,Customer_004,SETTLEMENT,18993.0,0.0,0.0,18993.0,INR
G00233,2026-10-11,INV-NM018-1,GW-900000233,BAT-NM-018,Customer_004,SETTLEMENT,18845.0,0.0,0.0,18845.0,INR
G00234,2026-10-12,INV-NM018-2,GW-900000234,BAT-NM-018,Customer_004,SETTLEMENT,17003.0,0.0,0.0,17003.0,INR
G00235,2026-10-13,INV-NM018-3,GW-900000235,BAT-NM-018,Customer_004,SETTLEMENT,19214.0,0.0,0.0,19214.0,INR
G00236,2026-08-07,INV-NM019-0,GW-900000236,BAT-NM-019,Customer_017,SETTLEMENT,32562.0,0.0,0.0,32562.0,INR
G00237,2026-08-08,INV-NM019-1,GW-900000237,BAT-NM-019,Customer_017,SETTLEMENT,88250.0,0.0,0.0,88250.0,INR
G00238,2026-09-06,INV-NM020-0,GW-900000238,BAT-NM-020,Customer_030,SETTLEMENT,19743.0,0.0,0.0,19743.0,INR
G00239,2026-09-07,INV-NM020-1,GW-900000239,BAT-NM-020,Customer_030,SETTLEMENT,22349.0,0.0,0.0,22349.0,INR
G00240,2026-09-08,INV-NM020-2,GW-900000240,BAT-NM-020,Customer_030,SETTLEMENT,19504.0,0.0,0.0,19504.0,INR
G00241,2026-09-09,INV-NM020-3,GW-900000241,BAT-NM-020,Customer_030,SETTLEMENT,6126.0,0.0,0.0,6126.0,INR
G00242,2026-09-10,INV-NM020-4,GW-900000242,BAT-NM-020,Customer_030,SETTLEMENT,8251.0,0.0,0.0,8251.0,INR
G00243,2026-10-09,INV-NM021-0,GW-900000243,BAT-NM-021,Customer_043,SETTLEMENT,27360.0,0.0,0.0,27360.0,INR
G00244,2026-10-10,INV-NM021-1,GW-900000244,BAT-NM-021,Customer_043,SETTLEMENT,35750.0,0.0,0.0,35750.0,INR
G00245,2026-09-24,INV-NM022-0,GW-900000245,BAT-NM-022,Customer_056,SETTLEMENT,23443.0,0.0,0.0,23443.0,INR
G00246,2026-09-25,INV-NM022-1,GW-900000246,BAT-NM-022,Customer_056,SETTLEMENT,68580.0,0.0,0.0,68580.0,INR
G00247,2026-09-22,INV-NM023-0,GW-900000247,BAT-NM-023,Customer_069,SETTLEMENT,11364.0,0.0,0.0,11364.0,INR
G00248,2026-09-23,INV-NM023-1,GW-900000248,BAT-NM-023,Customer_069,SETTLEMENT,6730.0,0.0,0.0,6730.0,INR
G00249,2026-09-24,INV-NM023-2,GW-900000249,BAT-NM-023,Customer_069,SETTLEMENT,28436.0,0.0,0.0,28436.0,INR
G00250,2026-09-25,INV-NM023-3,GW-900000250,BAT-NM-023,Customer_069,SETTLEMENT,13398.0,0.0,0.0,13398.0,INR
G00251,2026-08-24,INV-NM024-0,GW-900000251,BAT-NM-024,Customer_002,SETTLEMENT,31559.0,0.0,0.0,31559.0,INR
G00252,2026-08-25,INV-NM024-1,GW-900000252,BAT-NM-024,Customer_002,SETTLEMENT,6153.0,0.0,0.0,6153.0,INR
G00253,2026-08-26,INV-NM024-2,GW-900000253,BAT-NM-024,Customer_002,SETTLEMENT,59412.0,0.0,0.0,59412.0,INR
G00254,2026-08-27,INV-NM024-3,GW-900000254,BAT-NM-024,Customer_002,SETTLEMENT,8621.0,0.0,0.0,8621.0,INR
G00255,2026-09-29,INV-NM025-0,GW-900000255,BAT-NM-025,Customer_015,SETTLEMENT,42768.0,0.0,0.0,42768.0,INR
G00256,2026-09-30,INV-NM025-1,GW-900000256,BAT-NM-025,Customer_015,SETTLEMENT,8662.0,0.0,0.0,8662.0,INR
G00257,2026-10-01,INV-NM025-2,GW-900000257,BAT-NM-025,Customer_015,SETTLEMENT,7602.0,0.0,0.0,7602.0,INR
G00258,2026-10-02,INV-NM025-3,GW-900000258,BAT-NM-025,Customer_015,SETTLEMENT,8138.0,0.0,0.0,8138.0,INR
G00259,2026-10-03,INV-NM025-4,GW-900000259,BAT-NM-025,Customer_015,SETTLEMENT,6248.0,0.0,0.0,6248.0,INR
G00260,2026-08-30,INV-NM026-0,GW-900000260,BAT-NM-026,Customer_028,SETTLEMENT,57346.0,0.0,0.0,57346.0,INR
G00261,2026-08-31,INV-NM026-1,GW-900000261,BAT-NM-026,Customer_028,SETTLEMENT,56933.0,0.0,0.0,56933.0,INR
G00262,2026-08-22,INV-NM027-0,GW-900000262,BAT-NM-027,Customer_041,SETTLEMENT,17655.0,0.0,0.0,17655.0,INR
G00263,2026-08-23,INV-NM027-1,GW-900000263,BAT-NM-027,Customer_041,SETTLEMENT,72773.0,0.0,0.0,72773.0,INR
G00264,2026-08-24,INV-NM027-2,GW-900000264,BAT-NM-027,Customer_041,SETTLEMENT,17425.0,0.0,0.0,17425.0,INR
G00265,2026-08-25,INV-NM027-3,GW-900000265,BAT-NM-027,Customer_041,SETTLEMENT,6169.0,0.0,0.0,6169.0,INR
G00266,2026-09-05,INV-NM028-0,GW-900000266,BAT-NM-028,Customer_054,SETTLEMENT,94377.0,0.0,0.0,94377.0,INR
G00267,2026-09-06,INV-NM028-1,GW-900000267,BAT-NM-028,Customer_054,SETTLEMENT,6756.0,0.0,0.0,6756.0,INR
G00268,2026-09-08,INV-NM029-0,GW-900000268,BAT-NM-029,Customer_067,SETTLEMENT,85810.0,0.0,0.0,85810.0,INR
G00269,2026-09-09,INV-NM029-1,GW-900000269,BAT-NM-029,Customer_067,SETTLEMENT,21662.0,0.0,0.0,21662.0,INR
G00270,2026-09-10,INV-NM029-2,GW-900000270,BAT-NM-029,Customer_067,SETTLEMENT,8186.0,0.0,0.0,8186.0,INR
G00271,2026-09-11,INV-NM029-3,GW-900000271,BAT-NM-029,Customer_067,SETTLEMENT,7194.0,0.0,0.0,7194.0,INR
G00272,2026-09-12,INV-NM029-4,GW-900000272,BAT-NM-029,Customer_067,SETTLEMENT,6988.0,0.0,0.0,6988.0,INR
G00273,2026-08-12,INV-NM030-0,GW-900000273,BAT-NM-030,Customer_080,SETTLEMENT,21627.0,0.0,0.0,21627.0,INR
G00274,2026-08-13,INV-NM030-1,GW-900000274,BAT-NM-030,Customer_080,SETTLEMENT,24501.0,0.0,0.0,24501.0,INR
G00275,2026-08-14,INV-NM030-2,GW-900000275,BAT-NM-030,Customer_080,SETTLEMENT,27724.0,0.0,0.0,27724.0,INR
G00276,2026-08-04,INV-NM031-0,GW-900000276,BAT-NM-031,Customer_013,SETTLEMENT,52884.0,0.0,0.0,52884.0,INR
G00277,2026-08-05,INV-NM031-1,GW-900000277,BAT-NM-031,Customer_013,SETTLEMENT,34146.0,0.0,0.0,34146.0,INR
G00278,2026-08-06,INV-NM031-2,GW-900000278,BAT-NM-031,Customer_013,SETTLEMENT,36731.0,0.0,0.0,36731.0,INR
G00279,2026-08-10,INV-NM032-0,GW-900000279,BAT-NM-032,Customer_026,SETTLEMENT,39484.0,0.0,0.0,39484.0,INR
G00280,2026-08-11,INV-NM032-1,GW-900000280,BAT-NM-032,Customer_026,SETTLEMENT,20994.0,0.0,0.0,20994.0,INR
G00281,2026-08-12,INV-NM032-2,GW-900000281,BAT-NM-032,Customer_026,SETTLEMENT,7334.0,0.0,0.0,7334.0,INR
G00282,2026-08-13,INV-NM032-3,GW-900000282,BAT-NM-032,Customer_026,SETTLEMENT,7821.0,0.0,0.0,7821.0,INR
G00283,2026-08-14,INV-NM032-4,GW-900000283,BAT-NM-032,Customer_026,SETTLEMENT,10268.0,0.0,0.0,10268.0,INR
G00284,2026-09-26,INV-NM033-0,GW-900000284,BAT-NM-033,Customer_039,SETTLEMENT,47307.0,0.0,0.0,47307.0,INR
G00285,2026-09-27,INV-NM033-1,GW-900000285,BAT-NM-033,Customer_039,SETTLEMENT,33432.0,0.0,0.0,33432.0,INR
G00286,2026-09-28,INV-NM033-2,GW-900000286,BAT-NM-033,Customer_039,SETTLEMENT,58676.0,0.0,0.0,58676.0,INR
G00287,2026-09-12,INV-NM034-0,GW-900000287,BAT-NM-034,Customer_052,SETTLEMENT,10639.0,0.0,0.0,10639.0,INR
G00288,2026-09-13,INV-NM034-1,GW-900000288,BAT-NM-034,Customer_052,SETTLEMENT,25190.0,0.0,0.0,25190.0,INR
G00289,2026-09-14,INV-NM034-2,GW-900000289,BAT-NM-034,Customer_052,SETTLEMENT,54635.0,0.0,0.0,54635.0,INR
G00290,2026-09-15,INV-NM034-3,GW-900000290,BAT-NM-034,Customer_052,SETTLEMENT,28568.0,0.0,0.0,28568.0,INR
G00291,2026-09-16,INV-NM034-4,GW-900000291,BAT-NM-034,Customer_052,SETTLEMENT,30834.0,0.0,0.0,30834.0,INR
G00292,2026-08-22,PART-000,GW-900000292,BAT-PART-000,Customer_004,PARTIAL_PAYMENT,21541.0,0.0,0.0,21541.0,INR
G00293,2026-08-23,PART-000,GW-900000293,BAT-PART-000,Customer_004,PARTIAL_PAYMENT,15172.0,0.0,0.0,15172.0,INR
G00294,2026-09-15,PART-001,GW-900000294,BAT-PART-001,Customer_021,PARTIAL_PAYMENT,5701.0,0.0,0.0,5701.0,INR
G00295,2026-09-16,PART-001,GW-900000295,BAT-PART-001,Customer_021,PARTIAL_PAYMENT,50785.0,0.0,0.0,50785.0,INR
G00296,2026-09-24,PART-002,GW-900000296,BAT-PART-002,Customer_038,PARTIAL_PAYMENT,17687.0,0.0,0.0,17687.0,INR
G00297,2026-09-25,PART-002,GW-900000297,BAT-PART-002,Customer_038,PARTIAL_PAYMENT,5543.0,0.0,0.0,5543.0,INR
G00298,2026-09-26,PART-002,GW-900000298,BAT-PART-002,Customer_038,PARTIAL_PAYMENT,10605.0,0.0,0.0,10605.0,INR
G00299,2026-10-20,PART-003,GW-900000299,BAT-PART-003,Customer_055,PARTIAL_PAYMENT,5646.0,0.0,0.0,5646.0,INR
G00300,2026-10-21,PART-003,GW-900000300,BAT-PART-003,Customer_055,PARTIAL_PAYMENT,11274.0,0.0,0.0,11274.0,INR
G00301,2026-10-22,PART-003,GW-900000301,BAT-PART-003,Customer_055,PARTIAL_PAYMENT,11824.0,0.0,0.0,11824.0,INR
G00302,2026-09-23,PART-004,GW-900000302,BAT-PART-004,Customer_072,PARTIAL_PAYMENT,16174.0,0.0,0.0,16174.0,INR
G00303,2026-09-24,PART-004,GW-900000303,BAT-PART-004,Customer_072,PARTIAL_PAYMENT,56361.0,0.0,0.0,56361.0,INR
G00304,2026-09-03,PART-005,GW-900000304,BAT-PART-005,Customer_009,PARTIAL_PAYMENT,51915.0,0.0,0.0,51915.0,INR
G00305,2026-09-04,PART-005,GW-900000305,BAT-PART-005,Customer_009,PARTIAL_PAYMENT,1283.0,0.0,0.0,1283.0,INR
G00306,2026-09-05,PART-005,GW-900000306,BAT-PART-005,Customer_009,PARTIAL_PAYMENT,7763.0,0.0,0.0,7763.0,INR
G00307,2026-10-04,PART-006,GW-900000307,BAT-PART-006,Customer_026,PARTIAL_PAYMENT,20678.0,0.0,0.0,20678.0,INR
G00308,2026-10-05,PART-006,GW-900000308,BAT-PART-006,Customer_026,PARTIAL_PAYMENT,2250.0,0.0,0.0,2250.0,INR
G00309,2026-10-06,PART-006,GW-900000309,BAT-PART-006,Customer_026,PARTIAL_PAYMENT,1559.0,0.0,0.0,1559.0,INR
G00310,2026-10-08,PART-007,GW-900000310,BAT-PART-007,Customer_043,PARTIAL_PAYMENT,13208.0,0.0,0.0,13208.0,INR
G00311,2026-10-09,PART-007,GW-900000311,BAT-PART-007,Customer_043,PARTIAL_PAYMENT,22066.0,0.0,0.0,22066.0,INR
G00312,2026-10-18,PART-008,GW-900000312,BAT-PART-008,Customer_060,PARTIAL_PAYMENT,59579.0,0.0,0.0,59579.0,INR
G00313,2026-09-28,PART-009,GW-900000313,BAT-PART-009,Customer_077,PARTIAL_PAYMENT,11596.0,0.0,0.0,11596.0,INR
G00314,2026-09-29,PART-009,GW-900000314,BAT-PART-009,Customer_077,PARTIAL_PAYMENT,48719.0,0.0,0.0,48719.0,INR
G00315,2026-08-29,PART-010,GW-900000315,BAT-PART-010,Customer_014,PARTIAL_PAYMENT,48624.0,0.0,0.0,48624.0,INR
G00316,2026-08-30,PART-010,GW-900000316,BAT-PART-010,Customer_014,PARTIAL_PAYMENT,20452.0,0.0,0.0,20452.0,INR
G00317,2026-09-14,PART-011,GW-900000317,BAT-PART-011,Customer_031,PARTIAL_PAYMENT,18296.0,0.0,0.0,18296.0,INR
G00318,2026-09-15,PART-011,GW-900000318,BAT-PART-011,Customer_031,PARTIAL_PAYMENT,3142.0,0.0,0.0,3142.0,INR
G00319,2026-09-16,PART-011,GW-900000319,BAT-PART-011,Customer_031,PARTIAL_PAYMENT,13498.0,0.0,0.0,13498.0,INR
G00320,2026-09-05,PART-012,GW-900000320,BAT-PART-012,Customer_048,PARTIAL_PAYMENT,27949.0,0.0,0.0,27949.0,INR
G00321,2026-09-10,PART-013,GW-900000321,BAT-PART-013,Customer_065,PARTIAL_PAYMENT,17606.0,0.0,0.0,17606.0,INR
G00322,2026-10-18,PART-014,GW-900000322,BAT-PART-014,Customer_002,PARTIAL_PAYMENT,21044.0,0.0,0.0,21044.0,INR
G00323,2026-10-19,PART-014,GW-900000323,BAT-PART-014,Customer_002,PARTIAL_PAYMENT,42181.0,0.0,0.0,42181.0,INR
G00324,2026-08-08,PART-015,GW-900000324,BAT-PART-015,Customer_019,PARTIAL_PAYMENT,15214.0,0.0,0.0,15214.0,INR
G00325,2026-08-09,PART-015,GW-900000325,BAT-PART-015,Customer_019,PARTIAL_PAYMENT,3071.0,0.0,0.0,3071.0,INR
G00326,2026-08-29,PART-016,GW-900000326,BAT-PART-016,Customer_036,PARTIAL_PAYMENT,53963.0,0.0,0.0,53963.0,INR
G00327,2026-08-30,PART-016,GW-900000327,BAT-PART-016,Customer_036,PARTIAL_PAYMENT,12278.0,0.0,0.0,12278.0,INR
G00328,2026-08-31,PART-017,GW-900000328,BAT-PART-017,Customer_053,PARTIAL_PAYMENT,10845.0,0.0,0.0,10845.0,INR
G00329,2026-09-01,PART-018,GW-900000329,BAT-PART-018,Customer_070,PARTIAL_PAYMENT,23044.0,0.0,0.0,23044.0,INR
G00330,2026-09-02,PART-018,GW-900000330,BAT-PART-018,Customer_070,PARTIAL_PAYMENT,12538.0,0.0,0.0,12538.0,INR
G00331,2026-09-03,PART-018,GW-900000331,BAT-PART-018,Customer_070,PARTIAL_PAYMENT,19514.0,0.0,0.0,19514.0,INR
G00332,2026-09-27,PART-019,GW-900000332,BAT-PART-019,Customer_007,PARTIAL_PAYMENT,48435.0,0.0,0.0,48435.0,INR
G00333,2026-09-28,PART-019,GW-900000333,BAT-PART-019,Customer_007,PARTIAL_PAYMENT,4025.0,0.0,0.0,4025.0,INR
G00334,2026-09-29,PART-019,GW-900000334,BAT-PART-019,Customer_007,PARTIAL_PAYMENT,11444.0,0.0,0.0,11444.0,INR
G00335,2026-09-08,PART-020,GW-900000335,BAT-PART-020,Customer_024,PARTIAL_PAYMENT,12195.0,0.0,0.0,12195.0,INR
G00336,2026-09-09,PART-020,GW-900000336,BAT-PART-020,Customer_024,PARTIAL_PAYMENT,5077.0,0.0,0.0,5077.0,INR
G00337,2026-09-02,PART-021,GW-900000337,BAT-PART-021,Customer_041,PARTIAL_PAYMENT,21448.0,0.0,0.0,21448.0,INR
G00338,2026-08-02,PART-022,GW-900000338,BAT-PART-022,Customer_058,PARTIAL_PAYMENT,3414.0,0.0,0.0,3414.0,INR
G00339,2026-08-03,PART-022,GW-900000339,BAT-PART-022,Customer_058,PARTIAL_PAYMENT,14000.0,0.0,0.0,14000.0,INR
G00340,2026-09-11,PART-023,GW-900000340,BAT-PART-023,Customer_075,PARTIAL_PAYMENT,47469.0,0.0,0.0,47469.0,INR
G00341,2026-10-10,PART-024,GW-900000341,BAT-PART-024,Customer_012,PARTIAL_PAYMENT,27786.0,0.0,0.0,27786.0,INR
G00342,2026-10-11,PART-024,GW-900000342,BAT-PART-024,Customer_012,PARTIAL_PAYMENT,2659.0,0.0,0.0,2659.0,INR
G00343,2026-09-21,PART-025,GW-900000343,BAT-PART-025,Customer_029,PARTIAL_PAYMENT,15390.0,0.0,0.0,15390.0,INR
G00344,2026-09-22,PART-025,GW-900000344,BAT-PART-025,Customer_029,PARTIAL_PAYMENT,24062.0,0.0,0.0,24062.0,INR
G00345,2026-09-23,PART-025,GW-900000345,BAT-PART-025,Customer_029,PARTIAL_PAYMENT,6370.0,0.0,0.0,6370.0,INR
G00346,2026-10-01,PART-026,GW-900000346,BAT-PART-026,Customer_046,PARTIAL_PAYMENT,5640.0,0.0,0.0,5640.0,INR
G00347,2026-10-02,PART-026,GW-900000347,BAT-PART-026,Customer_046,PARTIAL_PAYMENT,20593.0,0.0,0.0,20593.0,INR
G00348,2026-10-03,PART-026,GW-900000348,BAT-PART-026,Customer_046,PARTIAL_PAYMENT,4374.0,0.0,0.0,4374.0,INR
G00349,2026-09-24,PART-027,GW-900000349,BAT-PART-027,Customer_063,PARTIAL_PAYMENT,10008.0,0.0,0.0,10008.0,INR
G00350,2026-09-25,PART-027,GW-900000350,BAT-PART-027,Customer_063,PARTIAL_PAYMENT,46497.0,0.0,0.0,46497.0,INR
G00351,2026-09-10,PART-028,GW-900000351,BAT-PART-028,Customer_080,PARTIAL_PAYMENT,16075.0,0.0,0.0,16075.0,INR
G00352,2026-09-11,PART-028,GW-900000352,BAT-PART-028,Customer_080,PARTIAL_PAYMENT,13470.0,0.0,0.0,13470.0,INR
G00353,2026-09-12,PART-028,GW-900000353,BAT-PART-028,Customer_080,PARTIAL_PAYMENT,2119.0,0.0,0.0,2119.0,INR
G00354,2026-10-05,PART-029,GW-900000354,BAT-PART-029,Customer_017,PARTIAL_PAYMENT,2051.0,0.0,0.0,2051.0,INR
G00355,2026-10-06,PART-029,GW-900000355,BAT-PART-029,Customer_017,PARTIAL_PAYMENT,12962.0,0.0,0.0,12962.0,INR
G00356,2026-10-04,REV-000,GW-900000356,BAT-REV-000,Customer_005,CHARGE,96388.0,1927.76,347.0,94113.24,INR
G00357,2026-10-10,REV-000,GW-900000357,BAT-REV-000,Customer_005,REFUND,-6756.0,-121.61,0.0,-6634.39,INR
G00358,2026-08-07,REV-001,GW-900000358,BAT-REV-001,Customer_024,CHARGE,43290.0,779.22,140.26,42370.52,INR
G00359,2026-08-14,REV-001,GW-900000359,BAT-REV-001,Customer_024,CHARGEBACK_REVERSAL,-8573.0,0.0,0.0,-8573.0,INR
G00360,2026-10-05,REV-002,GW-900000360,BAT-REV-002,Customer_043,CHARGE,72714.0,1308.85,235.59,71169.56,INR
G00361,2026-10-09,REV-002,GW-900000361,BAT-REV-002,Customer_043,CHARGEBACK_REVERSAL,-20976.0,0.0,0.0,-20976.0,INR
G00362,2026-08-11,REV-003,GW-900000362,BAT-REV-003,Customer_062,CHARGE,88129.0,1586.32,285.54,86257.14,INR
G00363,2026-08-14,REV-003,GW-900000363,BAT-REV-003,Customer_062,REFUND,-29370.0,-528.66,0.0,-28841.34,INR
G00364,2026-10-03,REV-004,GW-900000364,BAT-REV-004,Customer_001,CHARGE,99544.0,1791.79,322.52,97429.69,INR
G00365,2026-10-08,REV-004,GW-900000365,BAT-REV-004,Customer_001,CHARGEBACK_REVERSAL,-1446.0,-26.03,0.0,-1419.97,INR
G00366,2026-08-16,REV-005,GW-900000366,BAT-REV-005,Customer_020,CHARGE,79618.0,1592.36,286.62,77739.02,INR
G00367,2026-08-20,REV-005,GW-900000367,BAT-REV-005,Customer_020,REFUND,-16342.0,0.0,0.0,-16342.0,INR
G00368,2026-09-19,REV-006,GW-900000368,BAT-REV-006,Customer_039,CHARGE,78960.0,1421.28,255.83,77282.89,INR
G00369,2026-09-22,REV-006,GW-900000369,BAT-REV-006,Customer_039,REFUND,-3206.0,-57.71,0.0,-3148.29,INR
G00370,2026-09-29,REV-007,GW-900000370,BAT-REV-007,Customer_058,CHARGE,25540.0,510.8,91.94,24937.26,INR
G00371,2026-10-01,REV-007,GW-900000371,BAT-REV-007,Customer_058,CHARGEBACK_REVERSAL,-3786.0,-68.15,0.0,-3717.85,INR
G00372,2026-08-31,REV-008,GW-900000372,BAT-REV-008,Customer_077,CHARGE,94748.0,1705.46,306.98,92735.56,INR
G00373,2026-09-04,REV-008,GW-900000373,BAT-REV-008,Customer_077,CHARGEBACK_REVERSAL,-1596.0,0.0,0.0,-1596.0,INR
G00374,2026-08-23,REV-009,GW-900000374,BAT-REV-009,Customer_016,CHARGE,63899.0,1150.18,207.03,62541.79,INR
G00375,2026-08-28,REV-009,GW-900000375,BAT-REV-009,Customer_016,CHARGEBACK_REVERSAL,-3653.0,0.0,0.0,-3653.0,INR
G00376,2026-09-19,REV-010,GW-900000376,BAT-REV-010,Customer_035,CHARGE,73611.0,1325.0,238.5,72047.5,INR
G00377,2026-09-23,REV-010,GW-900000377,BAT-REV-010,Customer_035,REFUND,-19161.0,0.0,0.0,-19161.0,INR
G00378,2026-08-29,REV-011,GW-900000378,BAT-REV-011,Customer_054,CHARGE,99238.0,1984.76,357.26,96895.98,INR
G00379,2026-08-31,REV-011,GW-900000379,BAT-REV-011,Customer_054,REFUND,-14397.0,0.0,0.0,-14397.0,INR
G00380,2026-10-04,REV-012,GW-900000380,BAT-REV-012,Customer_073,CHARGE,71837.0,1436.74,258.61,70141.65,INR
G00381,2026-10-12,REV-012,GW-900000381,BAT-REV-012,Customer_073,CHARGEBACK_REVERSAL,-7075.0,-127.35,0.0,-6947.65,INR
G00382,2026-10-07,REV-013,GW-900000382,BAT-REV-013,Customer_012,CHARGE,36041.0,648.74,116.77,35275.49,INR
G00383,2026-10-13,REV-013,GW-900000383,BAT-REV-013,Customer_012,CHARGEBACK_REVERSAL,-1732.0,0.0,0.0,-1732.0,INR
G00384,2026-09-03,REV-014,GW-900000384,BAT-REV-014,Customer_031,CHARGE,75319.0,1355.74,244.03,73719.23,INR
G00385,2026-09-10,REV-014,GW-900000385,BAT-REV-014,Customer_031,CHARGEBACK_REVERSAL,-16283.0,0.0,0.0,-16283.0,INR
G00386,2026-09-18,REV-015,GW-900000386,BAT-REV-015,Customer_050,CHARGE,36178.0,651.2,117.22,35409.58,INR
G00387,2026-09-23,REV-015,GW-900000387,BAT-REV-015,Customer_050,CHARGEBACK_REVERSAL,-11384.0,0.0,0.0,-11384.0,INR
G00388,2026-09-12,REV-016,GW-900000388,BAT-REV-016,Customer_069,CHARGE,35604.0,712.08,128.17,34763.75,INR
