bank_txn_id,date,description,amount,currency,reference
B00327,2026-09-06,PAY Customer_062,15000.0,INR,UTR-DUP-012-B
B00328,2026-09-02,PAY Customer_066,12500.0,INR,UTR-DUP-013-A
B00329,2026-09-03,PAY Customer_067,12500.0,INR,UTR-DUP-013-B
B00330,2026-09-02,PAY Customer_071,30000.0,INR,UTR-DUP-014-A
B00331,2026-09-03,PAY Customer_072,30000.0,INR,UTR-DUP-014-B
B00332,2026-10-01,PAY Customer_076,12500.0,INR,UTR-DUP-015-A
B00333,2026-10-02,PAY Customer_077,12500.0,INR,UTR-DUP-015-B
B00334,2026-10-03,PAY Customer_001,25000.0,INR,UTR-DUP-016-A
B00335,2026-10-04,PAY Customer_002,25000.0,INR,UTR-DUP-016-B
B00336,2026-09-23,PAY Customer_006,25000.0,INR,UTR-DUP-017-A
B00337,2026-09-24,PAY Customer_007,25000.0,INR,UTR-DUP-017-B
B00338,2026-08-16,PAY Customer_011,30000.0,INR,UTR-DUP-018-A
B00339,2026-08-17,PAY Customer_012,30000.0,INR,UTR-DUP-018-B
B00340,2026-09-05,PAY Customer_016,40000.0,INR,UTR-DUP-019-A
B00341,2026-09-06,PAY Customer_017,40000.0,INR,UTR-DUP-019-B
B00342,2026-09-23,PAY Customer_021,30000.0,INR,UTR-DUP-020-A
B00343,2026-09-24,PAY Customer_022,30000.0,INR,UTR-DUP-020-B
B00344,2026-08-30,PAY Customer_026,12500.0,INR,UTR-DUP-021-A
B00345,2026-08-31,PAY Customer_027,12500.0,INR,UTR-DUP-021-B
B00346,2026-08-22,PAY Customer_031,25000.0,INR,UTR-DUP-022-A
B00347,2026-08-23,PAY Customer_032,25000.0,INR,UTR-DUP-022-B
B00348,2026-09-14,PAY Customer_036,20000.0,INR,UTR-DUP-023-A
B00349,2026-09-15,PAY Customer_037,20000.0,INR,UTR-DUP-023-B
B00350,2026-09-06,PAY Customer_041,25000.0,INR,UTR-DUP-024-A
B00351,2026-09-07,PAY Customer_042,25000.0,INR,UTR-DUP-024-B
B00352,2026-09-14,ROUNDING / SETTLEMENT ADJUSTMENT,87157.58,INR,UTR-800000352
B00353,2026-09-01,ROUNDING / SETTLEMENT ADJUSTMENT,83850.73,INR,UTR-800000353
B00354,2026-08-08,ROUNDING / SETTLEMENT ADJUSTMENT,79422.37,INR,UTR-800000354
B00355,2026-09-05,ROUNDING / SETTLEMENT ADJUSTMENT,33725.14,INR,UTR-800000355
B00356,2026-09-17,ROUNDING / SETTLEMENT ADJUSTMENT,83807.64,INR,UTR-800000356
B00357,2026-09-06,ROUNDING / SETTLEMENT ADJUSTMENT,64018.24,INR,UTR-800000357
B00358,2026-08-03,ROUNDING / SETTLEMENT ADJUSTMENT,67881.69,INR,UTR-800000358
B00359,2026-08-07,ROUNDING / SETTLEMENT ADJUSTMENT,88478.7,INR,UTR-800000359
B00360,2026-08-09,ROUNDING / SETTLEMENT ADJUSTMENT,72718.34,INR,UTR-800000360
B00361,2026-08-30,ROUNDING / SETTLEMENT ADJUSTMENT,56718.54,INR,UTR-800000361
B00362,2026-08-29,ROUNDING / SETTLEMENT ADJUSTMENT,23492.67,INR,UTR-800000362
B00363,2026-09-06,ROUNDING / SETTLEMENT ADJUSTMENT,44403.96,INR,UTR-800000363
B00364,2026-09-15,ROUNDING / SETTLEMENT ADJUSTMENT,75963.0,INR,UTR-800000364
B00365,2026-08-21,ROUNDING / SETTLEMENT ADJUSTMENT,32869.87,INR,UTR-800000365
B00366,2026-08-10,ROUNDING / SETTLEMENT ADJUSTMENT,53352.36,INR,UTR-800000366
B00367,2026-09-22,ROUNDING / SETTLEMENT ADJUSTMENT,44265.2,INR,UTR-800000367
B00368,2026-09-18,ROUNDING / SETTLEMENT ADJUSTMENT,36877.65,INR,UTR-800000368
B00369,2026-08-06,ROUNDING / SETTLEMENT ADJUSTMENT,30431.93,INR,UTR-800000369
B00370,2026-08-24,ROUNDING / SETTLEMENT ADJUSTMENT,78130.77,INR,UTR-800000370
B00371,2026-08-07,ROUNDING / SETTLEMENT ADJUSTMENT,11499.59,INR,UTR-800000371
B00372,2026-09-15,LATE SETTLEMENT / BACKDATED PAYMENT,24138.0,INR,UTR-800000372
B00373,2026-08-30,LATE SETTLEMENT / BACKDATED PAYMENT,14656.0,INR,UTR-800000373
B00374,2026-09-16,LATE SETTLEMENT / BACKDATED PAYMENT,68354.0,INR,UTR-800000374
B00375,2026-09-21,LATE SETTLEMENT / BACKDATED PAYMENT,44321.0,INR,UTR-800000375
B00376,2026-09-05,LATE SETTLEMENT / BACKDATED PAYMENT,16096.0,INR,UTR-800000376
B00377,2026-09-04,LATE SETTLEMENT / BACKDATED PAYMENT,59923.0,INR,UTR-800000377
B00378,2026-09-04,LATE SETTLEMENT / BACKDATED PAYMENT,60070.0,INR,UTR-800000378
B00379,2026-09-19,LATE SETTLEMENT / BACKDATED PAYMENT,41252.0,INR,UTR-800000379
B00380,2026-09-05,LATE SETTLEMENT / BACKDATED PAYMENT,63247.0,INR,UTR-800000380
B00381,2026-08-31,LATE SETTLEMENT / BACKDATED PAYMENT,46232.0,INR,UTR-800000381
B00382,2026-08-30,LATE SETTLEMENT / BACKDATED PAYMENT,21423.0,INR,UTR-800000382
B00383,2026-09-02,LATE SETTLEMENT / BACKDATED PAYMENT,66368.0,INR,UTR-800000383
B00384,2026-10-05,LATE SETTLEMENT / BACKDATED PAYMENT,32883.0,INR,UTR-800000384
B00385,2026-08-31,LATE SETTLEMENT / BACKDATED PAYMENT,58304.0,INR,UTR-800000385
B00386,2026-09-13,LATE SETTLEMENT / BACKDATED PAYMENT,25178.0,INR,UTR-800000386
B00387,2026-09-10,LATE SETTLEMENT / BACKDATED PAYMENT,54348.0,INR,UTR-800000387
B00388,2026-09-14,LATE SETTLEMENT / BACKDATED PAYMENT,20532.0,INR,UTR-800000388
B00389,2026-09-21,LATE SETTLEMENT / BACKDATED PAYMENT,19365.0,INR,UTR-800000389
B00390,2026-09-02,LATE SETTLEMENT / BACKDATED PAYMENT,19512.0,INR,UTR-800000390
B00391,2026-09-05,LATE SETTLEMENT / BACKDATED PAYMENT,59907.0,INR,UTR-800000391
B00392,2026-09-21,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,88467.0,INR,UTR-800000392
B00393,2026-09-26,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,74640.0,INR,UTR-800000393
B00394,2026-10-11,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,58030.0,INR,UTR-800000394
B00395,2026-10-13,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,87043.0,INR,UTR-800000395
B00396,2026-08-27,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,53336.0,INR,UTR-800000396
B00397,2026-10-11,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,41916.0,INR,UTR-800000397
B00398,2026-08-31,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,81762.0,INR,UTR-800000398
B00399,2026-09-27,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,96058.0,INR,UTR-800000399
B00400,2026-09-29,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,98846.0,INR,UTR-800000400
B00401,2026-08-19,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,34928.0,INR,UTR-800000401
B00402,2026-08-06,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,63213.0,INR,UTR-800000402
B00403,2026-08-31,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,78110.0,INR,UTR-800000403
B00404,2026-08-23,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,38105.0,INR,UTR-800000404
B00405,2026-09-30,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,97610.0,INR,UTR-800000405
B00406,2026-08-07,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,45930.0,INR,UTR-800000406
B00407,2026-09-25,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,82655.0,INR,UTR-800000407
B00408,2026-08-09,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,58077.0,INR,UTR-800000408
B00409,2026-10-01,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,65904.0,INR,UTR-800000409
B00410,2026-08-15,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,43875.0,INR,UTR-800000410
B00411,2026-09-18,SETTLEMENT INCLUDING MANUAL ADJUSTMENT,91721.0,INR,UTR-800000411
B00412,2026-09-15,UNIDENTIFIED BANK CREDIT,62337.0,INR,UTR-800000412
B00413,2026-09-06,UNIDENTIFIED BANK CREDIT,26979.0,INR,UTR-800000413
B00414,2026-09-17,UNIDENTIFIED BANK CREDIT,52930.0,INR,UTR-800000414
B00415,2026-09-13,UNIDENTIFIED BANK CREDIT,11282.0,INR,UTR-800000415
B00416,2026-11-06,UNIDENTIFIED BANK CREDIT,51273.0,INR,UTR-800000416
B00417,2026-10-27,UNIDENTIFIED BANK CREDIT,50471.0,INR,UTR-800000417
B00418,2026-10-06,UNIDENTIFIED BANK CREDIT,13914.0,INR,UTR-800000418
B00419,2026-09-02,UNIDENTIFIED BANK CREDIT,62304.0,INR,UTR-800000419
B00420,2026-10-04,UNIDENTIFIED BANK CREDIT,60456.0,INR,UTR-800000420
B00421,2026-08-29,UNIDENTIFIED BANK CREDIT,51761.0,INR,UTR-800000421
B00422,2026-10-06,PAYMENT Customer_003,30000.0,INR,UTR-FALSE-000
B00423,2026-09-03,PAYMENT Customer_016,20000.0,INR,UTR-FALSE-001
B00424,2026-09-28,PAYMENT Customer_029,40000.0,INR,UTR-FALSE-002
B00425,2026-09-27,PAYMENT Customer_042,15000.0,INR,UTR-FALSE-003
B00426,2026-09-25,PAYMENT Customer_055,20000.0,INR,UTR-FALSE-004
B00427,2026-09-29,PAYMENT Customer_068,25000.0,INR,UTR-FALSE-005
B00428,2026-09-24,PAYMENT Customer_001,20000.0,INR,UTR-FALSE-006
B00429,2026-08-12,PAYMENT Customer_014,30000.0,INR,UTR-FALSE-007
B00430,2026-09-22,PAYMENT Customer_027,25000.0,INR,UTR-FALSE-008
B00431,2026-09-26,PAYMENT Customer_040,15000.0,INR,UTR-FALSE-009
B00432,2026-10-10,COMBINATORIAL DECOY,48615.0,INR,UTR-DECOY-0
B00433,2026-10-12,COMBINATORIAL DECOY,36409.0,INR,UTR-DECOY-1
B00434,2026-10-08,COMBINATORIAL DECOY,38169.0,INR,UTR-DECOY-2
B00435,2026-10-20,COMBINATORIAL DECOY,36625.0,INR,UTR-DECOY-3
B00436,2026-10-09,COMBINATORIAL DECOY,32640.0,INR,UTR-DECOY-4
B00437,2026-10-15,COMBINATORIAL DECOY,48017.0,INR,UTR-DECOY-5
B00438,2026-10-05,COMBINATORIAL DECOY,42988.0,INR,UTR-DECOY-6
B00439,2026-10-03,COMBINATORIAL DECOY,32298.0,INR,UTR-DECOY-7
B00440,2026-10-13,COMBINATORIAL DECOY,40560.0,INR,UTR-DECOY-8
B00441,2026-10-05,COMBINATORIAL DECOY,31702.0,INR,UTR-DECOY-9
