case_id,expected_status,pattern,bank_transaction_ids,erp_invoice_ids,gateway_transaction_ids,expected_bank_total,expected_erp_gross_total,expected_gateway_net_total,notes
C195,UNMATCHED,WRONG_CUSTOMER_SAME_AMOUNT,B0277,E0282,G0297,12000.0,12000.0,12000.0,Same amount but customer conflict; do not auto-match.
C196,UNMATCHED,UNEXPLAINED_AMOUNT_MISMATCH,B0278,E0283,G0298,32782.0,33033.0,33033.0,Difference 251 has no valid explanation.
C197,UNMATCHED,UNEXPLAINED_AMOUNT_MISMATCH,B0279,E0284,G0299,39080.0,40580.0,40580.0,Difference 1500 has no valid explanation.
C198,UNMATCHED,UNEXPLAINED_AMOUNT_MISMATCH,B0280,E0285,G0300,39241.0,39492.0,39492.0,Difference 251 has no valid explanation.
C199,UNMATCHED,UNEXPLAINED_AMOUNT_MISMATCH,B0281,E0286,G0301,17404.0,18403.0,18403.0,Difference 999 has no valid explanation.
C200,UNMATCHED,UNEXPLAINED_AMOUNT_MISMATCH,B0282,E0287,G0302,29065.0,30565.0,30565.0,Difference 1500 has no valid explanation.
C201,UNMATCHED,STALE_DATE,B0283,E0288,G0303,16844.0,16844.0,16844.0,Same amount/customer but date gap intentionally too large.
C202,UNMATCHED,STALE_DATE,B0284,E0289,G0304,23416.0,23416.0,23416.0,Same amount/customer but date gap intentionally too large.
C203,UNMATCHED,STALE_DATE,B0285,E0290,G0305,19256.0,19256.0,19256.0,Same amount/customer but date gap intentionally too large.
C204,UNMATCHED,STALE_DATE,B0286,E0291,G0306,24858.0,24858.0,24858.0,Same amount/customer but date gap intentionally too large.
C205,UNMATCHED,STALE_DATE,B0287,E0292,G0307,19376.0,19376.0,19376.0,Same amount/customer but date gap intentionally too large.
